datetime,MAIN,SIDE,SOUP,DESSERT,SALAD,BOTTLE,DRINK,ICE_CREAM,SWEETS_N_SNACKS,BAKED_GOOD,CONDIMENT,FRUIT,ALCOHOL,OTHER,TOTAL_SALES
2023-01-16 12:00:00,54,59,19,27,32,10,0,0,0,0,0,0,0,0,201
2023-01-16 12:15:00,20,29,10,10,11,2,0,0,0,0,0,0,0,0,82
2023-01-16 12:30:00,67,68,28,37,43,18,0,0,0,0,0,0,0,0,261
2023-01-16 12:45:00,69,65,17,33,46,9,0,0,0,0,0,0,0,0,239
2023-01-16 13:00:00,59,58,23,26,34,12,0,0,0,0,0,0,0,0,212
2023-01-16 13:15:00,57,49,13,31,23,14,0,0,0,0,0,0,0,0,187
2023-01-16 13:30:00,50,37,8,25,19,5,0,0,0,0,0,0,0,0,144
2023-01-16 13:45:00,77,65,18,18,29,7,0,0,0,0,0,0,0,0,214
2023-01-16 14:00:00,40,35,13,5,21,9,0,0,0,0,0,0,0,0,123
2023-01-17 11:30:00,56,58,0,21,21,6,0,0,0,0,0,0,0,0,162
2023-01-17 11:45:00,80,56,0,32,22,11,0,0,0,0,0,0,0,0,201
2023-01-17 12:00:00,74,90,0,26,33,14,0,0,0,0,0,0,0,0,237
2023-01-17 12:15:00,67,82,0,17,24,8,0,0,0,0,0,0,0,0,198
2023-01-17 12:30:00,86,98,0,27,25,16,0,0,0,0,0,0,0,0,252
2023-01-17 12:45:00,54,66,0,20,26,10,0,0,0,0,0,0,0,0,176
2023-01-17 13:00:00,72,64,0,18,27,6,0,0,0,0,0,0,0,0,187
2023-01-17 13:15:00,70,80,0,26,17,13,0,0,0,0,0,0,0,0,206
2023-01-17 13:30:00,67,74,0,18,21,18,0,0,0,0,0,0,0,0,198
2023-01-17 13:45:00,83,91,0,22,33,22,0,0,0,0,1,0,0,0,252
2023-01-17 14:00:00,44,50,0,11,15,6,0,0,0,0,0,0,0,0,126
2023-01-18 11:30:00,43,31,16,13,12,8,0,0,0,0,0,0,0,0,123
2023-01-18 11:45:00,53,54,28,15,20,9,0,0,0,0,0,0,0,0,179
2023-01-18 12:00:00,58,60,25,34,23,25,0,0,0,0,0,0,0,0,225
2023-01-18 12:15:00,62,59,21,20,26,14,0,0,0,0,0,0,0,0,202
2023-01-18 12:30:00,44,56,21,19,19,13,0,0,0,0,0,0,0,0,172
2023-01-18 12:45:00,50,54,16,21,22,10,0,0,0,0,0,0,0,0,173
2023-01-18 13:00:00,64,48,20,21,22,15,0,0,0,0,0,0,0,0,190
2023-01-18 13:15:00,73,52,17,27,22,19,0,0,0,0,0,0,0,0,210
2023-01-18 13:30:00,61,46,30,21,25,15,0,0,0,0,0,0,0,0,198
2023-01-18 13:45:00,77,49,18,21,23,11,0,0,0,0,0,0,0,0,199
2023-01-18 14:00:00,51,39,7,10,15,11,0,0,0,0,0,0,0,0,133
2023-01-19 11:30:00,49,27,0,16,21,11,0,0,0,0,0,0,0,0,124
2023-01-19 11:45:00,85,36,0,27,19,33,0,0,0,0,0,0,0,0,200
2023-01-19 12:00:00,85,53,0,29,31,27,0,0,0,0,0,0,0,0,225
2023-01-19 12:15:00,74,47,0,25,35,13,0,0,0,0,0,0,0,0,194
2023-01-19 12:30:00,68,60,0,29,33,15,0,0,0,0,0,0,0,0,205
